ご年齢,エントリーした会社数,就活した時期,勉強時間,内定数
27,15,2019,600,1
34,50,2021,600,1
35,5,2021,1200,1
29,70,2021,65,1
25,5,2021,600,1
26,5,2021,200,1
33,5,2019,400,1
27,5,2021,1200,1
31,5,2020,800,1
29,70,2021,800,1
28,70,2020,800,1
22,5,2019,65,1
23,30,2021,800,1
30,30,2022,1200,1
45,50,2009,65,1
30,30,2019,400,1
27,5,2021,65,1
27,5,2020,15,0
27,15,2021,800,1
23,5,2020,15,1
33,5,2021,400,1
25,15,2021,800,1
26,70,2021,400,1
21,50,2021,800,1
25,15,2021,200,1
26,15,2020,15,1
26,30,2019,65,1
33,15,2021,800,1
25,5,2021,600,1
28,70,2020,1200,1
34,5,2018,600,1
31,5,2019,65,1
38,5,2022,65,1
24,15,2022,200,1
32,30,2020,1200,1
26,15,2022,800,0
24,5,2020,800,1
24,15,2021,400,1
25,30,2021,800,1
21,5,2021,200,1
27,5,2021,200,1
26,15,2021,1200,1
31,50,2021,800,1
26,30,2021,400,1
33,5,2018,200,1
26,5,2021,1200,1
27,5,2021,15,1
1,70,2022,15,1
21,70,2021,1000,1
27,5,2017,400,1
27,30,2021,600,1
28,30,2021,600,0
25,5,2021,200,1
25,5,2021,1000,1
24,15,2021,1200,1
27,30,2020,15,1
22,5,2021,65,1
36,15,2022,400,0
31,5,2021,400,1
25,30,2021,800,1
28,5,2021,200,1
23,5,2021,600,1
24,5,2020,400,0
28,5,2018,15,1
25,5,2021,65,1
33,5,2021,1000,1
26,5,2021,600,1
29,50,2021,600,1
38,70,2020,400,1
25,5,2020,400,1
34,5,2021,1000,1
21,5,2022,65,0
28,5,2020,600,1
24,70,2020,400,1
33,5,2022,1000,1
27,5,2021,400,1
24,15,2021,600,1
26,5,2021,15,1
29,30,2022,800,0
28,5,2021,15,1
25,70,2021,800,1
23,15,2021,200,1
28,5,2019,800,1
27,30,2021,1000,1
62,5,2021,65,1
31,15,2021,1200,1
26,5,2021,600,1
21,5,2021,600,1
26,30,2021,600,1
23,5,2022,15,1
27,5,2020,800,1
34,15,2021,65,1
26,5,2020,800,1
43,5,2022,65,0
25,15,2022,200,0
26,5,2021,15,1
30,5,2020,15,1
28,15,2021,1200,1
23,15,2022,65,0
24,70,2021,1200,1
41,5,2022,1000,1
23,5,2021,800,1
25,5,2019,400,1
47,5,2020,1200,1
25,15,2021,400,1
30,70,2021,1200,1
24,15,2021,400,1
28,70,2021,600,1
26,5,2021,200,1
28,5,2019,200,0
28,5,2021,1200,1
25,50,2021,400,1
28,5,2019,800,1
25,15,2020,400,1
24,5,2021,400,1
34,70,2021,400,1
27,5,2021,65,1
24,5,2021,200,1
22,5,2021,65,1
26,5,2019,200,1
27,5,2018,400,1
27,5,2021,65,1
28,5,2019,200,1
24,5,2020,15,1
24,70,2020,200,1
34,70,2019,600,1
27,50,2017,400,1
30,5,2022,400,0
27,70,2021,800,1
22,5,2020,800,1
25,5,2021,1000,1
25,5,2020,400,1
30,5,2020,800,1
28,70,2021,200,1
25,15,2020,65,1
28,5,2021,400,1
25,5,2018,65,1
26,15,2022,600,0
32,5,2021,800,1
22,5,2011,800,1
25,5,2020,200,1
22,70,2018,400,1
24,30,2021,400,1
20,5,2022,65,0
27,70,2020,1000,1
18,5,2015,1200,1
26,30,2021,400,1
39,5,2021,65,0
28,70,2020,600,1
35,70,2021,1200,1
30,15,2021,1200,1
29,5,2021,65,1
21,50,2019,400,1
20,30,2021,800,1
28,15,2021,200,1
32,15,2021,800,1
24,30,2021,600,1
24,5,2021,15,1
27,30,2021,800,1
42,5,2018,800,1
24,5,2019,65,1
28,5,2020,200,1
33,30,2022,65,1
26,15,2020,600,1
30,5,2019,200,1
30,30,2021,600,1
35,5,2021,1000,1
32,15,2020,800,1
30,5,2015,15,1
29,5,2020,400,1
29,50,2021,400,1
30,5,2017,65,1
31,5,2021,600,1
29,5,2019,600,1
27,15,2019,15,1
24,30,2021,200,1
27,30,2021,200,1
27,5,2021,600,1
30,5,2021,400,1
25,70,2022,1200,1
28,5,2022,400,0
25,30,2021,1000,1
23,15,2019,15,1
36,15,2021,800,1
27,50,2022,800,1
27,5,2022,1000,0
32,15,2022,1200,0
28,5,2021,1000,1
25,5,2018,200,1
23,15,2022,1000,1
30,5,2018,200,1
25,30,2020,800,1
24,15,2020,200,1
28,5,2021,1000,1
26,5,2021,1000,1
30,15,2021,400,0
21,5,2022,65,0
36,15,2022,200,1
23,5,2022,1200,1
30,5,2021,65,1
21,5,2022,65,0
25,30,2021,800,1